figure_label,page,img_index,width,height,raw_file,semantic_file
Figure 1,2,0,1299,594,page02_img00.png,fig01_mux_sim.png
Figure 2,3,0,1299,614,page03_img00.png,fig02_arith_sim.png
Figure 3,4,0,1299,592,page04_img00.png,fig03_logic_sim.png
Figure 4,5,0,1299,596,page05_img00.png,fig04_alu1_sim.png
Figure 5,6,0,1392,877,page06_img00.png,fig05_alu1_synth.png
Figure 6,6,1,617,659,page06_img01.png,fig06_alu1_area.png
Figure 7,7,0,709,335,page07_img00.png,fig07_alu1_power.png
Figure 8,7,1,746,658,page07_img01.png,fig08_alu1_layout.png
Figure 9,8,0,732,249,page08_img00.png,fig09_alu1_drc.png
Figure 10,8,1,552,360,page08_img01.png,fig10_alu1_conn.png
Figure 11,9,0,895,800,page09_img00.png,fig11_alu1_timing.png
Figure 12,10,0,1299,596,page10_img00.png,fig12_hier_sim.png
Figure 13,10,1,1299,614,page10_img01.png,fig13_hier_synth.png
Figure 14,11,0,430,626,page11_img00.png,fig14_hier_area.png
Figure 15,11,1,726,328,page11_img01.png,fig15_hier_power.png
Figure 16,12,0,759,659,page12_img00.png,fig16_hier_pnr.png
Figure 17,12,1,867,330,page12_img01.png,fig17_hier_drc.png
Figure 18,13,0,626,422,page13_img00.png,fig18_hier_conn.png
Figure 19,14,0,1299,596,page14_img00.png,fig19_behav_sim.png
Figure 20,14,1,1299,596,page14_img01.png,fig20_behav_synth.png
Figure 21,15,0,438,791,page15_img00.png,fig21_behav_area.png
Figure 22,15,1,773,335,page15_img01.png,fig22_behav_power.png
Figure 23,16,0,751,664,page16_img00.png,fig23_behav_pnr.png
Figure 24,16,1,766,276,page16_img01.png,fig24_behav_drc.png
Figure 25,16,2,625,388,page16_img02.png,fig25_behav_conn.png
Figure 26,17,0,687,623,page17_img00.png,fig26_chip_padframe.png
Figure 27,17,1,766,744,page17_img01.png,fig27_chip_pindiagram.png
